Item ID,Container ID,Coordinates (W1,D1,H1),(W2,D2,H2)
000011,NA03,(1.0,3.0,0.0),(1.113,3.318,0.43700000000000006)
000016,NA01,(1.0,1.0,0.0),(1.449,1.11,0.14400000000000002)
000026,A01,(0.0,1.0,0.0),(0.465,1.467,0.256)
000035,G02,(0.0,2.0,0.0),(0.262,2.468,0.273)
000052,NA03,(1.0,2.0,0.0),(1.347,2.148,0.384)
000059,PB03,(0.0,0.0,0.0),(0.373,0.19699999999999998,0.42700000000000005)
000150,SB03,(0.0,0.0,0.0),(0.156,0.205,0.166)
000005,ES04,(0.0,0.0,0.0),(0.23199999999999998,0.316,0.182)
000008,LS04,(0.0,0.0,0.0),(0.392,0.13,0.36700000000000005)
000018,C001,(1.0,0.0,7.0),(1.154,0.358,7.227)
000036,CQ04,(0.0,1.0,0.0),(0.425,1.462,0.494)
000060,ES02,(0.0,0.0,0.0),(0.484,0.175,0.113)
000067,C02,(0.0,1.0,0.0),(0.17,1.125,0.45899999999999996)
000177,C04,(0.0,1.0,0.0),(0.166,1.395,0.47100000000000003)
000186,LS01,(0.0,0.0,0.0),(0.10300000000000001,0.11900000000000001,0.193)
000291,testContainer,(0.0,0.0,1.0),(0.139,0.38799999999999996,1.347)
000313,G03,(0.0,3.0,0.0),(0.106,3.472,0.14400000000000002)
000388,wasteContainer,(1.0,1.0,0.0),(1.186,1.153,0.141)
000326,EA03,(0.0,1.0,0.0),(0.11699999999999999,1.197,0.18)
000347,testContainer,(1.0,0.0,1.0),(1.212,0.27399999999999997,1.181)
000466,G03,(0.0,1.0,0.0),(0.414,1.18,0.156)
000570,CC01,(0.0,1.0,0.0),(0.327,1.197,0.301)
000713,A02,(0.0,0.0,0.0),(0.145,0.47100000000000003,0.217)
000664,SB01,(0.0,0.0,0.0),(0.115,0.155,0.242)
000835,L01,(0.0,2.0,0.0),(0.23399999999999999,2.123,0.287)
000836,EA02,(0.0,0.0,0.0),(0.488,0.11800000000000001,0.276)
